ID	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12
1	4	4	3	2	1	4	3	2	2	3	4	1
2	5	4	4	3	2	2	3	4	3	3	4	2
3	3	2	3	2	2	4	4	5	3	2	1	2
4	5	4	3	3	3	2	4	5	1	3	3	3
5	5	3	2	2	3	4	1	5	1	3	4	2
6	2	1	1	2	2	3	4	4	2	3	3	3
7	5	5	4	3	2	4	5	4	2	2	3	2
8	5	2	3	1	4	5	5	5	3	3	4	3
9	5	2	3	1	2	3	5	4	2	4	5	3
10	5	4	4	3	1	4	4	4	4	3	3	1
11	5	5	4	3	4	2	5	5	2	2	3	2
12	5	5	2	2	3	3	4	5	2	3	4	1
13	4	2	2	1	4	2	4	5	3	2	2	1
14	1	1	1	1	1	4	4	5	3	2	3	1
15	5	5	2	3	3	3	4	5	2	3	2	3
16	4	2	3	3	3	3	4	4	1	3	2	3
17	4	4	3	1	3	3	4	5	2	3	3	2
18	5	2	3	3	5	4	4	5	2	4	4	3
19	5	4	3	2	4	3	5	5	2	3	3	2
20	5	4	4	3	2	5	1	2	1	4	2	4
21	5	4	3	3	3	2	5	5	2	3	4	2
22	5	3	4	3	1	4	4	5	1	3	4	2
23	5	4	3	3	2	5	4	4	2	2	3	2
24	2	2	2	2	2	2	1	3	2	2	2	1
25	5	4	3	3	3	3	4	4	1	3	1	3
26	4	3	4	2	4	3	4	5	3	2	3	2
27	4	3	2	1	5	4	4	3	3	2	3	3
28	2	3	1	2	2	3	1	2	4	2	4	3
29	4	2	2	1	3	3	3	5	1	2	4	2
30	5	3	3	3	3	5	3	3	1	3	2	2
31	5	5	3	3	3	4	5	5	1	3	4	2
32	4	3	2	1	3	4	3	4	2	4	4	3
33	5	3	2	2	3	1	4	5	3	4	3	3
34	5	3	2	2	3	4	4	5	3	3	3	2
35	2	2	2	2	1	4	1	2	1	3	2	2
36	4	3	3	3	2	3	3	4	3	3	1	2
37	5	3	2	1	2	3	3	4	2	3	1	2
38	5	4	3	1	2	5	2	3	2	4	5	3
39	5	5	5	2	1	3	4	3	1	3	4	4
40	5	5	2	3	2	4	4	5	2	3	2	4
41	5	3	3	3	2	4	3	4	3	3	3	2
42	5	3	2	3	2	3	2	4	2	3	3	2
43	4	2	3	2	2	3	5	5	2	4	4	3
44	5	2	2	3	4	2	4	5	2	3	5	2
45	3	3	3	3	1	1	1	3	2	3	4	3
46	4	2	4	2	2	3	3	3	3	3	1	2
47	5	4	4	3	2	4	4	5	2	3	3	2
48	5	3	3	3	3	3	4	4	1	3	2	3
49	5	4	4	3	2	4	5	5	4	2	1	1
50	5	4	2	3	3	4	3	4	1	3	3	3
51	4	3	3	3	3	3	3	5	1	4	2	3
52	3	2	3	3	1	3	5	4	2	2	4	1
53	4	3	2	3	3	5	5	5	3	3	3	2
54	4	4	3	3	1	4	1	1	3	2	3	1
55	5	5	3	2	3	4	3	3	1	5	5	4
56	5	5	3	3	4	4	5	5	1	3	4	3
57	4	3	5	4	2	5	4	4	4	1	4	1
58	3	3	1	1	3	3	2	4	3	3	4	2
59	5	5	4	3	2	2	1	5	2	3	2	2
