"A1" "A2" "A3" "A4" "D1" "D2" "D3" "D4" "V1" "V2" "V3" "V4"
"1" 4 4 2 2 2 1 2 2 3 2 2 4
"2" 2 4 2 2 2 2 2 3 2 2 2 3
"3" 3 2 2 3 2 2 2 2 2 2 2 4
"4" 2 2 2 3 2 2 2 2 1 0 2 2
"5" 2 2 2 2 2 2 3 1 2 2 2 4
"6" 4 4 4 4 4 4 4 3 3 4 4 2
"7" 4 4 4 4 3 4 3 4 3 2 3 2
"8" 4 4 4 4 2 2 2 3 2 2 2 4
"9" 0 2 0 0 0 0 0 0 0 0 0 0
"10" 4 4 4 4 2 4 2 1 4 3 4 4
"11" 4 4 4 4 4 4 4 4 2 3 2 4
"12" 2 2 2 2 3 2 2 2 1 2 0 2
"13" 3 3 2 4 4 4 4 4 3 2 3 4
"14" 4 4 1 4 1 2 1 2 3 3 2 4
"15" 4 4 4 4 4 2 2 2 2 0 0 2
"16" 4 4 4 4 2 2 2 4 3 4 3 3
"17" 4 4 4 4 4 3 3 4 3 4 4 4
"18" 4 2 4 2 2 4 2 4 2 2 2 4
"19" 4 4 4 4 3 4 3 3 4 4 4 4
"20" 4 4 4 4 2 3 3 2 2 3 1 4
"21" 4 4 4 4 4 4 4 4 4 3 3 4
"22" 4 4 4 4 4 3 4 3 4 4 4 4
"23" 4 4 4 3 2 3 2 3 3 2 4 4
"24" 4 4 4 2 3 2 2 2 4 4 4 4
"25" 4 4 4 4 3 3 3 4 4 3 4 4
"26" 4 4 4 4 3 3 3 3 4 4 4 4
"27" 4 4 4 4 4 4 4 4 4 4 4 4
"28" 4 4 4 4 3 4 4 3 4 4 3 4
"29" 3 2 3 2 2 3 3 2 2 2 2 2
"30" 4 4 4 4 4 4 4 4 4 4 3 4
"31" 4 4 4 4 4 4 4 4 4 3 4 4
"32" 0 0 1 0 0 0 0 0 3 3 2 4
"33" 4 4 4 4 4 4 4 4 3 0 3 4
"34" 4 4 3 4 2 3 2 3 4 4 4 4
"35" 4 4 4 2 4 2 4 2 3 3 3 4
"36" 4 4 4 4 2 2 3 2 4 4 4 4
"37" 3 2 2 3 4 4 4 4 2 2 2 2
"38" 2 2 2 2 2 2 2 2 3 4 2 2
